ST	bruce06-BRU1322	bruce08-BRU1134	bruce11-BRU211	bruce12-BRU73	bruce42-BRU424	bruce43-BRU379	bruce45-BRU233	bruce55-BRU2066	bruce18-BRU339	bruce19-BRU324	bruce21-BRU329	bruce04-BRU1543	bruce07-BRU1250	bruce09-BRU588	bruce16-BRU548	bruce30-BRU1505
372	1	5	3	12	3	2	3	2	5	20	8	7	4	3	7	5
373	1	5	3	13	3	2	3	2	4	20	8	5	4	6	6	3
374	1	5	3	13	3	2	3	2	4	20	8	4	7	3	5	4
375	1	5	3	13	3	2	3	2	4	20	8	6	4	8	6	3
376	1	5	3	13	2	2	3	2	4	20	8	8	7	3	4	5
377	4	5	4	12	2	3	3	3	6	21	8	3	4	3	3	5
378	4	5	4	12	2	2	3	3	6	21	8	3	6	3	3	5
379	4	5	4	12	1	3	3	3	6	21	8	3	4	3	3	5
380	4	5	4	12	2	2	3	1	6	21	8	3	4	3	3	6
381	4	5	4	12	2	2	3	3	6	21	8	5	4	3	6	4
382	4	5	4	12	2	2	3	3	6	21	8	3	5	3	4	6
383	4	5	4	12	1	2	3	3	6	21	6	5	4	3	4	5
384	4	5	3	12	2	2	3	1	7	21	8	4	5	6	4	3
385	4	5	3	12	2	2	3	1	7	21	8	4	6	6	4	3
386	4	5	3	12	2	2	3	1	7	21	8	4	5	7	4	3
387	4	5	3	12	2	2	3	1	6	22	8	5	5	4	3	3
388	2	5	3	12	2	2	3	1	6	22	8	4	9	6	3	3
389	2	3	9	11	3	1	5	2	5	20	9	6	7	8	5	3
390	2	3	9	11	3	1	5	2	6	20	9	7	5	9	7	3
391	2	4	8	15	6	1	5	2	6	21	9	28	9	11	2	5
392	2	5	8	15	5	1	5	7	6	20	9	17	14	11	2	6
393	2	5	8	15	5	1	5	7	5	21	9	6	14	20	2	6
394	2	4	8	15	6	1	5	2	6	21	9	20	13	9	2	5
395	2	5	8	15	5	1	5	7	4	21	9	15	14	13	2	6
396	2	5	8	15	5	1	5	7	4	21	9	14	13	13	2	6
